,speed,dx,dy,cos_turn
count,352.0,352.0,352.0,352.0
mean,2.3227390461172597,-0.011363636363636364,-0.1377840909090909,0.1321418663273265
std,3.7820695840012903,2.899289096618107,3.359983989395318,0.4144692643547149
min,0.0,-16.0,-14.0,-0.999996000012
25%,0.0,0.0,-0.125,0.0
50%,0.0,0.0,0.0,0.0
75%,3.1622776601683795,0.0,0.0,0.0
max,27.65863337187866,15.0,27.0,0.9999991666671944
