x,y
280.0,263.0
281.4926895321693,262.8604935485809
283.10168880494336,262.47126885829965
284.15142846499475,262.1360258165059
285.7819671925766,261.8455202228337
287.81617886656585,261.8066475905731
289.5204464102318,261.55733987347674
290.672225693365,261.7855414683395
291.9454888574893,262.2576111618242
292.9447665610486,262.6503491049448
293.86648109790445,262.93573789831066
295.5041090846452,262.9278772128132
296.68480169752087,262.9672891528601
297.88079807322873,262.9413002370448
299.20523882792173,263.0309780894357
300.5689632532388,263.21362131830494
302.0645682613317,263.53860569165806
303.5899545678592,264.3511858755168
304.72708187953884,265.4256249642304
305.7239092218553,266.19145523431337
307.23048893969775,266.94601003169345
308.4257420106277,267.19129169011694
309.2974238302289,267.6952123987502
310.08582413263514,268.5480076630646
311.6639717932769,269.6193477712703
312.5506627809111,270.5657000637439
313.7913819435884,271.56969849179615
314.92483818079563,272.8755459559875
316.21865590196757,274.14944068731927
316.99120503187834,275.144173415715
318.0583386197315,276.22760529662884
318.89741936522296,277.0365357373209
319.7197517382057,277.81141669406907
320.6050382629386,279.0969611374016
321.2057183666538,280.5789224627866
321.8024531554545,281.8070954770371
322.13296479685914,282.8272028453743
322.9059375038723,283.78655932234796
323.8792689268592,284.99321159388467
325.068541491414,286.02071846775516
325.9914938516647,286.95602216089463
326.93700577074424,288.2250561239756
327.85050349826986,289.44667281598373
328.73579296721937,290.92951927406443
329.305056187889,292.0079308681812
330.1222781536445,293.07658751072887
331.1061486820032,294.0107746725754
332.1650219504596,295.1366572714034
332.7534532442055,295.97057726868064
333.581444602063,297.5871161614243
334.3650184308048,298.83727916421543
