x,y
280.0,263.0
280.9388196478129,262.61835230561064
282.4271238530934,261.89481271860495
283.3556833420953,261.64405635850045
284.8306240483576,261.4255195354896
286.7919072673956,261.3318726862651
288.48914350753887,261.4403020090317
290.4017709431389,261.6425576902379
291.6265170148224,261.5999726650749
293.16766203959924,262.404346517248
294.5131154586556,263.1877046729938
295.61661072201935,263.5753997688171
296.88644972968825,263.9192416487574
299.1578852159952,263.8844672357138
301.1735143526731,264.07386868205043
303.13308525523263,264.05245852691246
304.85090288578334,264.0367816413371
306.6033981340201,264.0518998478316
308.5402620653106,263.99623124248365
310.4087271782534,264.0306472101434
311.7906840211784,263.75287364811805
313.7435140945965,263.65595988804506
315.83201839388875,262.8876788546266
317.6117738994092,261.83540833628734
319.2821803582376,260.4243757047246
321.29686271990073,259.3763344056611
323.709107880168,258.8670429723947
325.7305622316584,258.79009391102744
328.03164048279564,258.69648594459505
329.41175060955254,258.2759475719834
330.8734165235469,257.95228536536393
332.7119844686316,257.6257037790237
334.4568860659103,257.8796319580726
335.5885505812216,257.827632804807
337.61233073757904,257.4368308017429
339.6807797813321,257.0635903356294
341.21214343285527,256.7975377354353
342.9769009131108,256.501683864239
345.12314609993734,256.20370027940015
347.1866410338609,256.3560756321193
348.9207916898871,256.81158963814875
351.2318866807447,257.2197243564677
353.24702067008036,256.8333958601539
354.99998682994374,256.95153895625884
357.3590525209275,256.848798074419
359.2009867891978,257.12865545485363
360.7638593703215,257.4361288292765
361.6227949391008,257.7851246285736
362.8224305578129,257.63453104081077
364.36835519933584,257.3650201414314
366.08236786335397,256.4215861569924
