Algorithm,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin,Time (s)
Leiden,47,0.2755686044692993,27809.019894671866,1.4388334226551958,2592.9321236610413
KMeans,10,0.16252225637435913,45650.281741898405,1.7542381672609502,2407.2584552764893
DBSCAN,1800,-0.6902120113372803,25.48491007661324,1.3405873447094023,2688.8797855377197
