group,names,scores,logfoldchanges,pvals,pvals_adj
23,ENSG00000173930,-0.06591968,0.55771714,0.9474417729546024,0.9974452169064976
23,ENSG00000287104,-0.06624997,0.17902792,0.9471788189696244,0.9974452169064976
23,ENSG00000167768,-0.066514194,-22.707241,0.9469684599229491,0.9974452169064976
23,ENSG00000206384,-0.066717446,0.11423106,0.9468066477866065,0.9974452169064976
23,ENSG00000106211,-0.0667835,0.05342703,0.9467540593144179,0.9974452169064976
23,ENSG00000211943,-0.06772354,-22.268637,0.9460057101535225,0.9974452169064976
23,ENSG00000144460,-0.06783025,0.2949963,0.9459207654094945,0.9974452169064976
23,ENSG00000204427,-0.068475574,0.3343889,0.945407065094384,0.9974452169064976
23,ENSG00000264569,-0.06878045,0.1317558,0.9451643799144233,0.9974452169064976
23,ENSG00000189058,-0.06893289,-22.087337,0.9450430392314023,0.9974452169064976
23,ENSG00000286342,-0.06893289,-22.11223,0.9450430392314023,0.9974452169064976
23,ENSG00000124102,-0.0699085,-0.8343878,0.9442664891728141,0.9974452169064976
23,ENSG00000233750,-0.07014224,-22.096546,0.9440804485579445,0.9974452169064976
23,ENSG00000149534,-0.07014224,-22.098639,0.9440804485579445,0.9974452169064976
23,ENSG00000286072,-0.07018289,0.11843357,0.9440480939794716,0.9974452169064976
23,ENSG00000267690,-0.070279434,0.074667744,0.9439712522256424,0.9974452169064976
23,ENSG00000157404,-0.07119915,0.1908104,0.94323925965549,0.9974452169064976
23,ENSG00000288524,-0.07135159,-22.152313,0.9431179395341537,0.9974452169064976
23,ENSG00000258479,-0.07146338,0.06374089,0.9430289722836707,0.9974452169064976
23,ENSG00000134121,-0.07177842,-0.3622138,0.9427782502234383,0.9974452169064976
23,ENSG00000275764,-0.07203248,0.5798977,0.9425760591421483,0.9974452169064976
23,ENSG00000289093,-0.072520286,-0.28102204,0.9421878626497728,0.9974452169064976
23,ENSG00000243273,-0.072560936,-22.068754,0.942155513560677,0.9974452169064976
23,ENSG00000160181,-0.072560936,-22.139923,0.942155513560677,0.9974452169064976
23,ENSG00000202502,-0.072560936,-22.468842,0.942155513560677,0.9974452169064976
23,ENSG00000185499,-0.07289122,-0.1938316,0.9418926807536183,0.9974452169064976
23,ENSG00000167483,-0.074207276,-0.39256728,0.9408454562272554,0.9974452169064976
