group,names,scores,logfoldchanges,pvals,pvals_adj
2,ENSG00000053900,0.6387885,0.32987833,0.5229605256768965,0.9952848817767128
2,ENSG00000156860,0.6363448,0.7905793,0.5245517194081534,0.9952848817767128
2,ENSG00000180190,0.6326792,0.40755177,0.526943151308602,0.9952848817767128
2,ENSG00000089060,0.6304799,0.23239332,0.5283806768792498,0.9952848817767128
2,ENSG00000126391,0.62950236,0.4588001,0.5290202176624965,0.9952848817767128
2,ENSG00000182150,0.6290136,0.56606436,0.529340135696095,0.9952848817767128
2,ENSG00000117475,0.6275474,0.15058762,0.530300479810691,0.9952848817767128
2,ENSG00000057704,0.6275474,0.5456959,0.530300479810691,0.9952848817767128
2,ENSG00000162869,0.62461495,0.19801751,0.5322238189297142,0.9952848817767128
2,ENSG00000011021,0.6231487,0.56417245,0.5331868114200522,0.9952848817767128
2,ENSG00000136158,0.6231487,0.11781,0.5331868114200522,0.9952848817767128
2,ENSG00000245532,0.62168247,0.27474323,0.5341506841799688,0.9952848817767128
2,ENSG00000137942,0.62021625,-0.0757893,0.5351154359400562,0.9952848817767128
2,ENSG00000104774,0.6197275,1.268989,0.5354372149733411,0.9952848817767128
2,ENSG00000197888,0.6180169,1.7776458,0.5365642089165236,0.9952848817767128
2,ENSG00000141441,0.612152,0.8675424,0.5404372255532413,0.9952848817767128
2,ENSG00000186827,0.6109301,1.0671115,0.5412458601304926,0.9952848817767128
2,ENSG00000100867,0.6089751,0.5245331,0.5425409311419606,0.9952848817767128
2,ENSG00000058668,0.60799766,0.21477294,0.5431890453704572,0.9952848817767128
2,ENSG00000155307,0.60433203,0.76050127,0.5456229020704685,0.9952848817767128
2,ENSG00000081026,0.6001777,0.96186626,0.548387796876213,0.9952848817767128
2,ENSG00000186001,0.59773403,0.4924092,0.5500174318505648,0.9952848817767128
2,ENSG00000173805,0.593824,1.4143838,0.5526298000453125,0.9952848817767128
2,ENSG00000197062,0.59186906,0.93584204,0.5539382629491585,0.9952848817767128
2,ENSG00000180061,0.59138036,1.5219522,0.5542656155029491,0.9952848817767128
2,ENSG00000256087,0.59040284,1.0519685,0.554920604448359,0.9952848817767128
2,ENSG00000138442,0.5894254,0.23435494,0.5555759715046737,0.9952848817767128
2,ENSG00000020256,0.589181,0.46437258,0.5557398723007574,0.9952848817767128
2,ENSG00000105722,0.58844787,0.11901314,0.5562317162636154,0.9952848817767128
2,ENSG00000181026,0.58747035,0.083560355,0.5568878383159486,0.9952848817767128
2,ENSG00000143502,0.58747035,0.23295571,0.5568878383159486,0.9952848817767128
2,ENSG00000267858,0.58698165,1.0386364,0.5572160406989892,0.9952848817767128
2,ENSG00000159792,0.58258295,0.58840305,0.5601740935883177,0.9952848817767128
2,ENSG00000111737,0.58111674,0.06766444,0.5611617997629132,0.9952848817767128
2,ENSG00000115274,0.580628,0.55316085,0.561491222320732,0.9952848817767128
2,ENSG00000136875,0.5791617,0.15859832,0.5624800507631088,0.9952848817767128
2,ENSG00000100124,0.578673,0.09255953,0.5628098469926829,0.9952848817767128
2,ENSG00000166716,0.5784286,0.03499486,0.5629747800934255,0.9952848817767128
2,ENSG00000261971,0.5784286,0.22012112,0.5629747800934255,0.9952848817767128
2,ENSG00000120519,0.57720673,0.6150458,0.5637997951944809,0.9952848817767128
2,ENSG00000151748,0.57647365,-0.13582407,0.5642950836966256,0.9952848817767128
2,ENSG00000167182,0.57525176,0.120289005,0.5651210296992432,0.9952848817767128
2,ENSG00000167625,0.5723193,1.1575032,0.5671056679614661,0.9952848817767128
2,ENSG00000180479,0.5715862,1.9007425,0.5676023488547337,0.9952848817767128
2,ENSG00000078795,0.56938684,3.1213655,0.5690936398483277,0.9952848817767128
2,ENSG00000132514,0.5671875,1.5683022,0.5705867995248989,0.9952848817767128
2,ENSG00000160193,0.5671875,0.49631965,0.5705867995248989,0.9952848817767128
2,ENSG00000158470,0.5664544,-0.0093627,0.5710849338354731,0.9952848817767128
2,ENSG00000108733,0.5657213,0.8617007,0.5715832750526375,0.9952848817767128
2,ENSG00000154217,0.5635219,0.33575436,0.5730795383221056,0.9952848817767128
2,ENSG00000139218,0.5635219,-0.039330762,0.5730795383221056,0.9952848817767128
2,ENSG00000167508,0.5522808,0.034605175,0.5807559789765087,0.9952848817767128
2,ENSG00000168067,0.54812646,0.32823083,0.5836050585810253,0.9952848817767128
2,ENSG00000229314,0.5473934,0.5716869,0.5841085125388024,0.9952848817767128
2,ENSG00000197748,0.54494965,2.4380534,0.5857881507846616,0.9952848817767128
2,ENSG00000138755,0.54397213,1.3410792,0.5864606331941922,0.9952848817767128
2,ENSG00000169169,0.5429947,2.3869615,0.5871334732753868,0.9952848817767128
2,ENSG00000244607,0.5425059,2.114837,0.5874700273013332,0.9952848817767128
2,ENSG00000163958,0.5425059,2.048416,0.5874700273013332,0.9952848817767128
2,ENSG00000118407,0.5425059,2.267479,0.5874700273013332,0.9952848817767128
2,ENSG00000183475,0.5410397,0.2952196,0.588480224639865,0.9952848817767128
2,ENSG00000105429,0.5383516,0.247594,0.5903343341691618,0.9952848817767128
2,ENSG00000090020,0.53761846,0.9745432,0.5908404668133513,0.9952848817767128
2,ENSG00000129646,0.5356635,0.7454594,0.5921911287931645,0.9952848817767128
2,ENSG00000213079,0.5351748,0.08742194,0.592529015551768,0.9952848817767128
2,ENSG00000106526,0.5337085,0.360957,0.593543205939393,0.9952848817767128
2,ENSG00000138834,0.52979857,0.6083164,0.5962515909556547,0.9952848817767128
2,ENSG00000062650,0.528088,-0.07709794,0.5974382771890616,0.9952848817767128
2,ENSG00000130158,0.5258886,0.39722097,0.5989655921649456,0.9952848817767128
2,ENSG00000147854,0.52539986,-0.027408242,0.5993052357165294,0.9952848817767128
2,ENSG00000175575,0.52246743,-0.077322096,0.6013449267326589,0.9952848817767128
2,ENSG00000161888,0.52246743,0.436943,0.6013449267326589,0.9952848817767128
2,ENSG00000160563,0.5200237,0.3407927,0.6030470588038568,0.9952848817767128
2,ENSG00000105287,0.5190462,0.29914534,0.6037285180886538,0.9952848817767128
2,ENSG00000155719,0.51806873,2.0424438,0.6044103232073654,0.9952848817767128
2,ENSG00000153786,0.5170912,0.06542786,0.6050924736837154,0.9952848817767128
2,ENSG00000260630,0.5170912,2.0562692,0.6050924736837154,0.9952848817767128
2,ENSG00000047936,0.5166025,1.9802531,0.6054336782819222,0.9952848817767128
2,ENSG00000145414,0.5158694,0.8298495,0.6059456467112962,0.9952848817767128
2,ENSG00000100888,0.5158694,0.17047314,0.6059456467112962,0.9952848817767128
2,ENSG00000058404,0.515625,1.5310212,0.6061163458997405,0.9952848817767128
2,ENSG00000131467,0.515625,-0.027638257,0.6061163458997405,0.9952848817767128
2,ENSG00000159885,0.51513624,1.7307236,0.6064578087997202,0.9952848817767128
2,ENSG00000186416,0.51489186,0.66266567,0.6066285724962805,0.9952848817767128
2,ENSG00000168438,0.51318127,-0.08939376,0.6078245196084475,0.9952848817767128
2,ENSG00000169621,0.5129369,1.0132706,0.6079954549967099,0.9952848817767128
2,ENSG00000115904,0.5126925,-0.034154072,0.6081664118126282,0.9952848817767128
2,ENSG00000122483,0.51171505,0.8055296,0.6088504532023185,0.9952848817767128
2,ENSG00000088881,0.5109819,0.84501237,0.6093637088659287,0.9952848817767128
2,ENSG00000136383,0.51000446,0.42186826,0.6100483488585378,0.9952848817767128
