x,y
384.0,455.0
384.047255702383,455.3064044207607
384.6713762808354,455.50067459783355
385.2274577549681,455.70579582295665
386.6278989159152,456.25090853788737
389.27740886037094,457.1243213565165
393.25888651651377,458.764173586928
398.7870283981121,461.279663883936
402.59755214915765,463.1438525115583
406.420791674451,467.4037469273566
408.70665293545096,470.67383231290273
411.08141235448176,475.7864332150889
412.3596809143145,479.61740719154494
417.53308537281254,485.35659477408996
420.915036336731,488.3374333753481
425.54201071191466,491.3183653257541
429.5591250916142,493.8577819787611
433.24678186721616,496.0402555048858
438.2669116092707,498.3216386264684
444.1979061249119,500.94280105460314
447.6570995572206,502.01715449813645
452.23892536709894,503.54628322991795
457.0259066594492,503.3543035833984
460.4785298915551,501.99483136464545
463.05162192289635,500.05783800875855
466.45755486999855,497.9917519227284
471.5035803443282,496.3781023152164
474.8958189770846,495.8726813662668
479.09938458843055,495.39613365738325
481.7293939160581,494.4509845989966
484.25001586851965,493.49102202297087
