x,y
384.0,455.0
384.17859818688805,455.2850191797355
384.68178366521914,455.56772269463323
386.25132238207215,456.8027865174835
390.3808849127337,459.94048115010037
395.48685370558394,463.3835345406879
402.18026099149233,466.7383843797165
406.99709105688333,470.9892229504109
410.22938546751385,474.32759473029654
414.12749273974924,479.37751567157414
416.6288131333251,483.3523480186028
422.01767205391576,488.68351782565804
425.2505136127441,492.38818357419797
429.2962372803527,497.52663621329134
432.60246367525417,502.2827097180773
435.67162791359084,507.4489492828344
438.98067133454384,513.3102797561698
441.55632640031706,518.7662695004237
443.6969949352574,525.612179661151
444.8735889578593,529.6082249951531
447.9912917317295,535.8542325085438
449.926169664173,539.2933586714619
451.7085791290932,547.4504495352566
451.8209402224613,551.2093370724801
454.0451126855386,559.0391716970045
454.3789106610134,562.5149205285549
455.72907627993607,568.9724069851061
456.87535607857103,575.4362274727815
458.64407934693656,580.8199049515482
459.6490926621913,585.840698235116
461.2637840014534,591.2991973814627
