seq,id,t,age,x,y,dx,dy,speed,area,perimeter,eccentricity,solidity,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,min_intensity,intensity_std,intensity_skew,intensity_kurtosis,contrast,energy,homogeneity,correlation,dissimilarity,prev_dx,prev_dy,prev_speed,cos_turn,t_norm,group,cluster
01,5,16,16,507.0,345.0,0.0,0.0,0.0,5329.0,291.27922061357856,0.7971378184943223,0.9638270935069633,106.67266720160004,64.40867893773135,0.47403130051695075,59.00168887220867,254.0,1.0,73.41560078165274,1.674302656464416,1.5306040946861508,0.0031482923998044964,0.9968052639850851,0.9991551559258658,0.9885096411366943,0.0019206683773216032,0.0,-8.0,8.0,0.0,0.5199999792000009,01_5,0
01,5,20,20,507.0,345.0,0.0,0.0,0.0,5188.0,281.6639969244288,0.7665338379377383,0.975187969924812,102.0345379756863,65.52698029777847,0.5961217326966965,61.56495759444873,254.0,2.0,73.96470890182624,1.621334499970498,1.3772260256015736,0.0029497342375366577,0.9968873358465508,0.9991845422574342,0.9893195291859664,0.001842390640273705,0.0,0.0,0.0,0.0,0.679999972800001,01_5,0
01,5,26,26,497.0,341.0,3.0,-1.0,3.1622776601683795,5491.0,289.27922061357856,0.7487343337063463,0.968601164226495,102.93511924383466,68.2326227293348,0.3574219747752966,58.05499908941905,254.0,1.0,72.85871373578279,1.7112693828301184,1.7192659385159974,0.0029497342375366577,0.9968348320920867,0.9991716813011434,0.9893909123684264,0.0018614827712609974,0.0,0.0,0.0,0.0,0.9199999632000014,01_5,0
01,5,28,28,505.0,343.0,8.0,2.0,8.246211251235321,5698.0,291.5218613006978,0.7395401794212307,0.9733515544926546,104.0989312017285,70.07028296422229,0.34659543603739323,55.07827307827308,254.0,2.0,73.51972332293602,1.809003945373231,2.02064336296534,0.0029802816471163245,0.996998036226394,0.9992165225224552,0.9894573673636406,0.0017908418866080154,0.0,0.0,0.0,0.0,0.9999999600000016,01_5,2
01,6,3,3,587.0,350.0,0.0,0.0,0.0,5451.0,302.73506473629425,0.670165754883404,0.953305351521511,98.93628648832511,73.43164628306273,0.6007445255046596,69.71528159970647,254.0,2.0,77.24260565176635,1.5053854445614572,0.983746071496264,0.003591229838709677,0.9963108435028472,0.9990600363936316,0.9896610468083766,0.0021440463098729226,0.0,0.0,0.0,0.0,0.0,01_6,0
01,6,7,7,587.0,348.0,0.0,0.0,0.0,5499.0,307.6639969244288,0.7705426428440876,0.9647368421052631,107.00240166097976,68.20209488770607,0.8188469289639992,69.13820694671759,254.0,2.0,76.91476846522868,1.533944300888661,1.0430826483246802,0.003600775904203324,0.9962087851633846,0.9990980917014182,0.9895766450955047,0.0020829514907135874,0.0,-1.0,1.0,0.0,0.15999999360000025,01_6,0
01,6,15,15,588.0,347.0,0.0,0.0,0.0,5968.0,312.3919189857867,0.7686767331760369,0.9497135582431572,111.21993930304426,71.14043944573022,0.714221882528385,66.03317694369973,254.0,2.0,75.69561841533287,1.6072407819940835,1.2997753345291736,0.003650415444770284,0.9959892848403398,0.9990275470595977,0.9896554250806944,0.0022146871945259044,0.0,0.0,0.0,0.0,0.4799999808000007,01_6,0
01,6,16,16,588.0,347.0,0.0,0.0,0.0,5553.0,299.3208511739212,0.7799353224147364,0.9618915641780703,108.05131550304763,67.62500954960899,0.7035988503433601,69.93949216639655,254.0,1.0,76.37717131278944,1.53127509388054,1.0306081651657903,0.00350913367546432,0.9960016994098181,0.9990697457357206,0.989995654694766,0.002121135752688172,0.0,0.0,0.0,0.0,0.5199999792000009,01_6,0
01,6,20,20,589.0,345.0,0.0,0.0,0.0,6132.0,307.8061325481597,0.7116028332992479,0.9594742606790799,106.92383679628833,75.12275860813853,0.6162759140825027,63.18672537508154,254.0,2.0,74.48994337032796,1.7087914596515381,1.6102927670652347,0.0034728586265884652,0.9959330227959805,0.9990301465266628,0.9899099273414802,0.002182230571847507,0.0,0.0,0.0,0.0,0.679999972800001,01_6,0
01,6,26,26,584.0,341.0,0.0,0.0,0.0,6832.0,350.2497833620557,0.7061488257498532,0.9158176943699732,113.34286256103539,80.25393723064232,0.6445127018730384,56.09733606557377,254.0,2.0,72.72716799656376,1.878598969323332,2.257006896017092,0.003446129643206257,0.9959283287891131,0.999055700376191,0.989892169745472,0.002130681818181818,0.0,0.0,0.0,0.0,0.9199999632000014,01_6,0
01,6,28,28,588.0,347.0,0.0,0.0,0.0,6491.0,312.9360748630709,0.6169470322130424,0.9785918890396502,103.91285597926536,81.77990351243076,0.36925338811008146,57.89215837313203,254.0,2.0,74.39402659187732,1.8271784847124755,1.9564935902431335,0.0034308559384164227,0.996033345069001,0.999085566801189,0.990010140582522,0.0020772238514173997,4.0,6.0,7.211102550927978,0.0,0.9999999600000016,01_6,0
01,7,3,3,651.0,396.0,0.0,0.0,0.0,8280.0,368.00714267493646,0.6901755860081626,0.9540269616315243,121.64113602774646,88.02462792378456,1.2978737925528072,52.0463768115942,254.0,1.0,72.47552493032146,1.966452291567157,2.6781711629028635,0.003154020039100684,0.9957145298994311,0.9990541437499455,0.9920934296875836,0.0020905883431085043,0.0,0.0,0.0,0.0,0.0,01_7,0
01,7,7,7,650.0,408.0,-1.0,12.0,12.041594578792296,8394.0,354.8772003600252,0.5552746893983723,0.9775241644346104,113.84618466267523,94.6821162578021,0.7424087920727809,50.74886823921849,254.0,1.0,72.32967851361104,1.9718810199107533,2.7003541328017038,0.0031750213831867055,0.9958700386924957,0.9990671683844271,0.9920162956394359,0.002069586999022483,0.0,0.0,0.0,0.0,0.15999999360000025,01_7,2
01,7,15,15,650.0,406.5,0.0,-0.5,0.5,8793.0,373.0782104868019,0.4886254654852606,0.9653090350203096,114.40485125278363,99.81750527620886,-0.20175690635173127,50.12885249630388,254.0,1.0,71.50768748859952,2.0313874197625132,2.9596309275053967,0.0034098545943304004,0.9956343355523213,0.9990272350759186,0.9915444429458006,0.0021765029325513194,0.0,0.0,0.0,0.0,0.4799999808000007,01_7,0
01,7,16,16,650.0,406.0,0.0,-0.5,0.5,8830.0,363.94826817189073,0.3864796689751241,0.9734318156763312,111.04795730357746,102.41930077775974,-0.4854425962157852,49.3836919592299,254.0,1.0,71.2659702168205,2.0504891895154636,3.0399553999622304,0.003423219086021505,0.995719247644795,0.9990206875980565,0.9914367598576955,0.002189867424242424,0.0,-0.5,0.5,0.999996000012,0.5199999792000009,01_7,2
